,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,150.41,7.14,  260.44 ,13.06,  22.61 ,NA,,NA,,,1.00,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,151.52,7.20,  263.42 ,13.28,  23.09 ,NA,,NA,,,1.00,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,151.81,7.02,  264.93 ,13.04,  22.76 ,NA,,NA,,,1.00,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,159.40,6.70,  279.16 ,12.54,  21.97 ,NA,,NA,,,1.00,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,159.44,6.41,  280.15 ,12.10,  21.26 ,NA,,NA,,,1.00,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,154.44,6.28,  272.28 ,11.93,  21.03 ,NA,,NA,,,1.00,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,155.82,6.25,  275.63 ,11.87,  20.99 ,NA,,NA,,,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,158.56,6.40,  281.43 ,12.15,  21.56 ,NA,,NA,,,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,160.09,6.49,  285.10 ,12.31,  21.92 ,NA,,NA,,,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,162.60,6.91,  290.60 ,13.08,  23.38 ,NA,,NA,,,1.01,2.24,8.18%,6.59%,1.59%
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,154.26,7.28,  276.79 ,13.77,  24.71 ,NA,,NA,,,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,158.11,7.59,  284.82 ,14.36,  25.87 ,NA,,NA,,,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,165.37,7.76,  299.06 ,14.66,  26.52 ,NA,,NA,,,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,171.31,7.92,  311.00 ,14.96,  27.16 ,NA,,NA,,,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,169.23,8.00,  308.45 ,15.11,  27.54 ,NA,,NA,,,1.01,2.40,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,174.13,8.17,  318.62 ,15.41,  28.20 ,NA,,NA,,,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,181.43,8.25,  333.23 ,15.55,  28.56 ,NA,,NA,,,1.01,2.40,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,186.98,8.32,  344.69 ,15.69,  28.92 ,NA,,NA,,,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,200.19,8.57,  370.36 ,15.71,  29.07 ,18.47,,24.14,,-1.05%,1.00,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,197.55,8.64,  366.80 ,15.42,  28.64 ,18.15,,23.66,,-1.14%,1.00,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,199.79,8.80,  372.32 ,15.29,  28.49 ,18.27,,23.77,,-1.31%,1.00,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,197.18,8.88,  368.84 ,15.00,  28.07 ,17.95,,23.31,,-0.75%,1.00,2.40,4.60%,5.46%,-0.87%
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,208.11,9.12,  390.72 ,15.02,  28.20 ,18.87,,24.46,,-0.89%,1.00,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,210.67,9.28,  396.98 ,14.89,  28.05 ,19.03,,24.62,,-0.77%,1.00,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,201.30,9.35,  380.78 ,14.61,  27.63 ,18.12,,23.40,,-0.40%,1.00,2.43,4.46%,5.96%,-1.50%
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,192.72,9.33,  366.03 ,14.20,  26.96 ,17.29,,22.29,,0.21%,1.00,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,187.02,9.13,  356.64 ,13.54,  25.82 ,16.72,,21.54,,0.56%,1.00,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,182.32,9.19,  349.14 ,13.29,  25.45 ,16.26,,20.93,,0.67%,1.00,2.29,6.79%,6.79%,0.00%
